0,000000.0,000000.0,100000.0,200000.0,300000.0,400000.0,500000.0,600000.0,700000.0,800000.0,900000.1,000000.
1,000000.1,000000.1,010000.1,040000.1,090000.1,160000.1,250000.1,360000.1,490000.1,640000.1,810000.2,000000.
0,900000.0,900000.0,910000.0,940000.0,990000.1,060000.1,150000.1,260000.1,390000.1,540000.1,710000.1,900000.
0,800000.0,800000.0,810000.0,840000.0,890000.0,960000.1,050000.1,160000.1,290000.1,440000.1,610000.1,800000.
0,700000.0,700000.0,710000.0,740000.0,790000.0,860000.0,950000.1,060000.1,190000.1,340000.1,510000.1,700000.
0,600000.0,600000.0,610000.0,640000.0,690000.0,760000.0,850000.0,960000.1,090000.1,240000.1,410000.1,600000.
0,500000.0,500000.0,510000.0,540000.0,590000.0,660000.0,750000.0,860000.0,990000.1,140000.1,310000.1,500000.
0,400000.0,400000.0,410000.0,440000.0,490000.0,560000.0,650000.0,760000.0,890000.1,040000.1,210000.1,400000.
0,300000.0,300000.0,310000.0,340000.0,390000.0,460000.0,550000.0,660000.0,790000.0,940000.1,110000.1,300000.
0,200000.0,200000.0,210000.0,240000.0,290000.0,360000.0,450000.0,560000.0,690000.0,840000.1,010000.1,200000.
0,100000.0,100000.0,110000.0,140000.0,190000.0,260000.0,350000.0,460000.0,590000.0,740000.0,910000.1,100000.
0,000000.0,000000.0,010000.0,040000.0,090000.0,160000.0,250000.0,360000.0,490000.0,640000.0,810000.1,000000.
